TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1611661327,Portland Fire,32,11,21,0.344,1305.0,733,1891,0.388,172,519,0.331,450,612,0.735,300,696,996,451,500.0,244,106,144,633,1,2088,-114.0,1,12,12,12,4,14,8,13,3,3,7,5,4,11,10,6,7,11,13,11,12,15,14,8,8,13,2001
1611661318,Sacramento Monarchs,32,20,12,0.625,1305.0,837,1974,0.424,163,423,0.385,457,618,0.739,374,723,1097,558,494.0,276,158,143,588,0,2294,155.0,1,4,4,4,4,2,2,5,4,8,1,4,3,9,1,3,2,2,10,5,1,14,4,13,2,3,2001
1611661328,Seattle Storm,32,10,22,0.313,1310.0,689,1821,0.378,128,412,0.311,415,606,0.685,306,585,891,412,431.0,273,127,127,605,1,1921,-127.0,1,13,13,13,2,15,13,15,11,11,15,9,5,14,9,16,16,16,1,6,6,10,8,8,16,14,2001
1611661319,Utah Starzz,32,19,13,0.594,1295.0,811,1849,0.439,78,244,0.32,507,675,0.751,295,775,1070,524,493.0,202,156,148,622,2,2207,15.0,1,6,6,6,8,4,9,3,16,16,10,2,2,8,13,1,3,4,9,16,2,16,12,3,3,8,2001
1611661322,Washington Mystics,32,10,22,0.313,1300.0,739,1915,0.386,117,418,0.28,331,502,0.659,356,699,1055,424,495.0,257,127,103,537,2,1926,-147.0,1,13,13,13,6,13,3,14,12,10,16,16,14,16,3,5,5,15,11,9,6,3,3,3,15,15,2001
1611661314,Charlotte Sting,32,18,14,0.563,1289.995,770,1790,0.43,211,527,0.4,490,663,0.739,302,653,955,496,408.0,241,105,103,647,4,2241,108.0,1,4,4,4,11,11,13,4,1,2,1,4,2,10,10,7,9,5,1,10,9,4,12,2,4,3,2002
1611661315,Cleveland Rockers,32,10,22,0.313,1302.666667,755,1810,0.417,120,373,0.322,428,549,0.78,294,668,962,478,449.0,220,83,109,564,1,2058,-68.0,1,14,14,14,3,13,12,10,11,12,12,9,12,2,14,6,7,8,4,14,16,7,3,9,14,12,2002
1611661321,Detroit Shock,32,9,23,0.281,1290.0,766,1919,0.399,110,364,0.302,472,650,0.726,360,719,1079,478,541.0,201,132,139,609,1,2114,-152.0,1,16,16,16,8,12,5,16,13,13,15,6,4,13,2,3,2,8,16,16,4,13,5,9,9,15,2002
1611661316,Houston Comets,32,24,8,0.75,1285.0,755,1778,0.425,109,332,0.328,453,585,0.774,299,702,1001,450,455.0,260,126,71,467,3,2072,180.0,1,2,2,2,13,13,14,6,14,14,10,8,7,3,12,5,5,13,6,7,5,1,1,5,13,2,2002
1611661325,Indiana Fever,32,16,16,0.5,1285.0,731,1824,0.401,180,542,0.332,455,580,0.784,314,633,947,447,438.0,268,100,145,559,0,2097,-32.0,1,8,8,8,13,15,11,15,4,1,7,7,8,1,7,11,12,14,3,4,11,15,2,14,10,9,2002
